hidden_layer_size,activation,solver,learning_rate,num_of_epochs,batch_size,validation_split,training_time (ms)
20,identity,sgd,0.001,20,32,0.2,847.63623046875
20,identity,sgd,0.01,20,32,0.2,869.185546875
20,identity,sgd,0.1,20,32,0.2,800.846435546875
20,identity,adam,0.001,20,32,0.2,857.877197265625
20,identity,adam,0.01,20,32,0.2,858.63818359375
20,identity,adam,0.1,20,32,0.2,973.962158203125
20,sigmoid,sgd,0.001,20,32,0.2,810.412841796875
20,sigmoid,sgd,0.01,20,32,0.2,961.1376953125
20,sigmoid,sgd,0.1,20,32,0.2,979.064453125
20,sigmoid,adam,0.001,20,32,0.2,882.9375
20,sigmoid,adam,0.01,20,32,0.2,1041.992919921875
20,sigmoid,adam,0.1,20,32,0.2,999.610595703125
20,tanh,sgd,0.001,20,32,0.2,851.234130859375
20,tanh,sgd,0.01,20,32,0.2,817.47119140625
20,tanh,sgd,0.1,20,32,0.2,840.29150390625
20,tanh,adam,0.001,20,32,0.2,948.783447265625
20,tanh,adam,0.01,20,32,0.2,784.604736328125
20,tanh,adam,0.1,20,32,0.2,795.9619140625
20,relu,sgd,0.001,20,32,0.2,867.23193359375
20,relu,sgd,0.01,20,32,0.2,743.046875
20,relu,sgd,0.1,20,32,0.2,727.82763671875
20,relu,adam,0.001,20,32,0.2,813.542236328125
20,relu,adam,0.01,20,32,0.2,806.427734375
20,relu,adam,0.1,20,32,0.2,816.976806640625
40,identity,sgd,0.001,20,32,0.2,742.6513671875
40,identity,sgd,0.01,20,32,0.2,746.93701171875
40,identity,sgd,0.1,20,32,0.2,752.989990234375
40,identity,adam,0.001,20,32,0.2,804.8740234375
40,identity,adam,0.01,20,32,0.2,806.349853515625
40,identity,adam,0.1,20,32,0.2,844.228759765625
40,sigmoid,sgd,0.001,20,32,0.2,799.556884765625
40,sigmoid,sgd,0.01,20,32,0.2,736.510009765625
40,sigmoid,sgd,0.1,20,32,0.2,786.9765625
40,sigmoid,adam,0.001,20,32,0.2,820.103515625
40,sigmoid,adam,0.01,20,32,0.2,819.45458984375
40,sigmoid,adam,0.1,20,32,0.2,800.12451171875
40,tanh,sgd,0.001,20,32,0.2,741.921630859375
40,tanh,sgd,0.01,20,32,0.2,740.173583984375
40,tanh,sgd,0.1,20,32,0.2,887.93603515625
40,tanh,adam,0.001,20,32,0.2,837.341796875
40,tanh,adam,0.01,20,32,0.2,918.3662109375
40,tanh,adam,0.1,20,32,0.2,866.5380859375
40,relu,sgd,0.001,20,32,0.2,788.146240234375
40,relu,sgd,0.01,20,32,0.2,810.574462890625
40,relu,sgd,0.1,20,32,0.2,999.932373046875
40,relu,adam,0.001,20,32,0.2,883.3759765625
40,relu,adam,0.01,20,32,0.2,908.966552734375
40,relu,adam,0.1,20,32,0.2,903.504638671875
60,identity,sgd,0.001,20,32,0.2,735.86279296875
60,identity,sgd,0.01,20,32,0.2,800.578857421875
60,identity,sgd,0.1,20,32,0.2,752.140380859375
60,identity,adam,0.001,20,32,0.2,863.462646484375
60,identity,adam,0.01,20,32,0.2,805.359130859375
60,identity,adam,0.1,20,32,0.2,812.577880859375
60,sigmoid,sgd,0.001,20,32,0.2,770.56591796875
60,sigmoid,sgd,0.01,20,32,0.2,779.90185546875
60,sigmoid,sgd,0.1,20,32,0.2,820.398681640625
60,sigmoid,adam,0.001,20,32,0.2,1157.174072265625
60,sigmoid,adam,0.01,20,32,0.2,828.766357421875
60,sigmoid,adam,0.1,20,32,0.2,820.402587890625
60,tanh,sgd,0.001,20,32,0.2,743.77490234375
60,tanh,sgd,0.01,20,32,0.2,737.3046875
60,tanh,sgd,0.1,20,32,0.2,726.427734375
60,tanh,adam,0.001,20,32,0.2,816.980712890625
60,tanh,adam,0.01,20,32,0.2,841.9736328125
